,,1,2,3,4,5,6,7,8,70,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,
Grupo secundario,Grupo secundario,CH3,CH2,CH,C,CH2=CH,CH=CH,CH2=C,CH=C,C=C,ACH,AC,ACCH3,ACCH2,ACCH,OH,CH3OH,H2O,ACOH,CH3CO,CH2CO,CHO,CH3COO,CH2COO,HCOO,CH3O,CH2O,CH-O,FCH2O,CH3NH2,CH2NH2,CHNH2,CH3NH,CH2NH,CHNH,CH3N,CH2N,ACNH2,C5H5N,C5H4N,C5H3N,CH3CN,CH2CN,COOH,HCOOH,CH2Cl,CHCl,CCl,CH2Cl2,CHCl2,CCl2,CHCl3,CCl3,CCl4,ACCl,CH3NO2,CH2NO2,CHNO2,ACNO2,CS2,CH3SH,CH2SH,furfural,(CH2OH)2,I,Br,CH=-C,C=-C,CH3SOCH3,CH2=CH-C=-N,Cl-(C=C),ACF,DMF-1,DMF-2,CF3,CF2,CF,COO,SiH3,SiH2,SiH,Si,SiH2O,SiHO,SiO,NMP,CCl3F,CCl2F,HCCl2F,HCClF,CClF2,HCClF2,CClF3,CCl2F2,CONH2,CONHCH3,CONHCH2,CON(CH3)2,CONCH3CH2,CON(CH2)2,C2H5O2,C2H4O2,CH3S,CH2S,CHS,Morpholine,C4H4S,C4H3S,C4H2S,
18,CH3CO,26.76,26.76,26.76,26.76,42.92,42.92,42.92,42.92,42.92,140.1,140.1,365.8,365.8,365.8,164.5,108.7,472.5,-133.1,0,0,-37.36,-213.7,-213.7,-190.4,-103.6,-103.6,-103.6,-103.6,0,0,0,-174.2,-174.2,-174.2,-169,-169,6201,7.341,7.341,7.341,481.7,481.7,669.4,669.4,-191.7,-191.7,-191.7,-130.3,-130.3,-130.3,-354.6,-354.6,-39.2,-119.8,137.5,137.5,137.5,548.5,216.1,-46.28,-46.28,-163.7,71.46,53.59,245.2,-246.6,-246.6,-44.58,0,-34.57,0,-61.7,-61.7,0,0,0,-18.8,-588.9,-588.9,-588.9,-588.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,37.54,0,0,0,0,-162.6,-162.6,-162.6,19
19,CH2CO,26.76,26.76,26.76,26.76,42.92,42.92,42.92,42.92,42.92,140.1,140.1,365.8,365.8,365.8,164.5,108.7,472.5,-133.1,0,0,-37.36,-213.7,-213.7,-190.4,-103.6,-103.6,-103.6,-103.6,0,0,0,-174.2,-174.2,-174.2,-169,-169,6201,7.341,7.341,7.341,481.7,481.7,669.4,669.4,-191.7,-191.7,-191.7,-130.3,-130.3,-130.3,-354.6,-354.6,-39.2,-119.8,137.5,137.5,137.5,548.5,216.1,-46.28,-46.28,-163.7,71.46,53.59,245.2,-246.6,-246.6,-44.58,0,-34.57,0,-61.7,-61.7,0,0,0,-18.8,-588.9,-588.9,-588.9,-588.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,37.54,0,0,0,0,-162.6,-162.6,-162.6,20
20,CHO,505.7,505.7,505.7,505.7,56.3,56.3,56.3,56.3,56.3,23.39,23.39,106,106,106,529,-340.2,480.8,-155.6,128,128,0,-110.3,-110.3,766,304.1,304.1,304.1,304.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.5,497.5,751.9,751.9,751.9,67.52,67.52,67.52,-483.7,-483.7,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,-339.2,172.4,0,-268.8,-268.8,0,0,0,-275.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
21,CH3COO,114.8,114.8,114.8,114.8,132.1,132.1,132.1,132.1,132.1,85.84,85.84,-170,-170,-170,245.4,249.6,200.8,-36.72,372.2,372.2,185.1,0,0,-241.8,-235.7,-235.7,-235.7,-235.7,0,0,0,-73.5,-73.5,-73.5,-196.7,-196.7,475.5,0,0,0,494.6,494.6,660.2,660.2,-34.74,-34.74,-34.74,108.9,108.9,108.9,-209.7,-209.7,54.57,442.4,-81.13,-81.13,-81.13,0,183,0,0,202.3,-101.7,148.3,18.88,0,0,52.08,-28.61,-275.2,0,85.33,85.33,0,0,0,560.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,151.8,0,0,0,0,0,0,0,22
22,CH2COO,114.8,114.8,114.8,114.8,132.1,132.1,132.1,132.1,132.1,85.84,85.84,-170,-170,-170,245.4,249.6,200.8,-36.72,372.2,372.2,185.1,0,0,-241.8,-235.7,-235.7,-235.7,-235.7,0,0,0,-73.5,-73.5,-73.5,-196.7,-196.7,475.5,0,0,0,494.6,494.6,660.2,660.2,-34.74,-34.74,-34.74,108.9,108.9,108.9,-209.7,-209.7,54.57,442.4,-81.13,-81.13,-81.13,0,183,0,0,202.3,-101.7,148.3,18.88,0,0,52.08,-28.61,-275.2,0,85.33,85.33,0,0,0,560.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.8,151.8,0,0,0,0,0,0,0,23
23,HCOO,329.3,329.3,329.3,329.3,110.4,110.4,110.4,110.4,110.4,18.12,18.12,428,428,428,139.4,227.8,0,0,385.4,385.4,-236.5,1167,1167,0,-234,-234,-234,-234,0,0,0,0,0,0,0,0,0,-233.4,-233.4,-233.4,-47.25,-47.25,-268.1,-268.1,0,0,0,0,0,0,-126.2,-126.2,179.7,24.28,0,0,0,0,0,103.9,103.9,0,0,0,0,0,0,0,0,-11.4,0,308.9,308.9,0,0,0,-122.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
24,CH3O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
25,CH2O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
26,CH-O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
27,FCH2O,83.36,83.36,83.36,83.36,26.51,26.51,26.51,26.51,26.51,52.13,52.13,65.69,65.69,65.69,237.7,238.4,-314.7,-178.5,191.1,191.1,-7.838,461.3,461.3,457.3,0,0,0,0,-78.36,-78.36,-78.36,251.5,251.5,251.5,5422,5422,0,213.2,213.2,213.2,-18.51,-18.51,664.6,664.6,301.1,301.1,301.1,137.8,137.8,137.8,-154.3,-154.3,47.67,134.8,95.18,95.18,95.18,0,140.9,-8.538,-8.538,170.1,-20.11,-149.5,-202.3,0,0,128.8,0,240.2,-274,254.8,254.8,0,0,0,417,1338,1338,1338,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
